SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,InitializeExperiment.started,InitializeExperiment.stopped,CheckAccuracy1.started,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-9-Per.wav,Speaker1,گوینده ۱,8,57,697,8,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.92893491700306,56.929156167003384,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-5-Per.wav,Speaker3,گوینده۳,8,58,698,44,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94552808300068,56.94567504200313,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-11-Per.wav,Speaker2,گوینده۲,8,59,699,30,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.96134600000005,56.96151995800028,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-13-Per.wav,Speaker4,گوینده۴,8,60,700,72,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.977144667001994,56.977336417003244,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-10-Per.wav,Speaker2,گوینده۲,8,61,701,29,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.993099500003154,56.99327083300159,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-4-Per.wav,Speaker1,گوینده ۱,8,62,702,13,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.009551125000144,57.00971466700139,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-13-Per.wav,Speaker1,گوینده ۱,8,63,703,12,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.025343667002744,57.02555987500091,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-6-Per.wav,Speaker4,گوینده۴,8,64,704,65,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.04126220800026,57.041439208001975,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-18-Per.wav,Speaker4,گوینده۴,8,65,705,77,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.057026833001146,57.05718212500142,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-10-Per.wav,Speaker1,گوینده ۱,8,66,706,9,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.07354550000309,57.07372083300288,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
